"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Biomass_kg","Mean_Plot_Biomass_kg_m2","Mean_Plot_Decid_Biomass_kg_m2","Mean_Plot_Pine_Biomass_kg_m2","Mean_Plot_Spruce_Biomass_kg_m2","Productivity_Index","DistrictID","Moose_Density","Red_Deer_Density","Roe_Deer_Density"
"1","Trøndelag","steinkjer_1bbb","1BBB","B",1,1.220043065,0.0970879422898683,0.0789164763982708,0.00546378919634477,0.0336110371850225,0.115979123,"1702",107.5650526,2.431337072,17.86445891
"2","Telemark","nome_cappelen1","1CAB","B",1,0.52190198,0.0415316399632237,0.00541431031186164,0.0245870513835515,0.0115302782678107,0.080441283,"0806",36.73246483,7.237559382,26.88021893
"3","Telemark","drangedal1","1DRB","B",1,0.68910408,0.0548371603183965,0.00822489721483815,0.0136594729908619,0.0350090144164059,0.21131677,"0817",27.00672829,9.836987784,5.031787593
"4","Telemark","fritsoe1","1FRB","B",1,0.289245695,0.0230174410636504,0.0029402623717342,0,0.0208122442848497,0.245537883,"0604",45.5486725,2.225169257,8.847710058
"5","Telemark","furesdal","1FYB","B",1,0.88544125,0.0704611758774833,0.00958590222242486,0.0150254202899481,0.053039280031929,0.058035047,"0831",23.22393919,2.078638027,1.526065809
"6","Trøndelag","namdalseid_1kub","1KB","B",1,1.267837645,0.100891314119869,0.0899086780640534,0,0.0109826360558154,0.222676728,"1725",75.88802955,8.758466457,7.375877596
"7","Telemark","kviteseid1","1KVB","B",1,1.307781315,0.104069930382735,0.122652432217685,0.0218551567853791,0.00461211130712426,0.105926078,"0829",34.25057033,13.40190923,2.936689407
"8","Trøndelag","nsb_verdal","1NSB","B",1,0.74148997,0.0590058969892806,0.0327876069108766,0.0218551567853791,0.0207545008820592,0.110463648,"1721",28.2697902,2.827400105,6.979690234
"9","Trøndelag","sub_namdalseid","1SB","B",1,0.47091627,0.0374743260764488,0.0291902118166762,0.00546378919634477,0.00691816696068639,0.077437345,"1725",75.88802955,8.758466457,7.375877596
"10","Trøndelag","verdal_1vb","1VBB","B",1,1.15545592666667,0.0919482611269133,0.0612706816440331,0.0291402090471721,0.00461211130712426,0.011938921,"1721",28.2697902,2.827400105,6.979690234
"11","Trøndelag","steinkjer_2bbb","2BBB","B",1,3.52418573,0.28044578965171,0.089744546345891,0,0.190701243305819,0.087040751,"1702",107.5650526,2.431337072,17.86445891
"12","Telemark","nome_cappelen2","2CAB","B",1,1.44051,0.114632143536653,0.0609761049429632,0.0573697865616201,0.0230605565356213,0.166542737,"0819",30.18818188,28.25801849,15.04767058
"13","Telemark","fritsoe2","2FRB","B",1,0.777139325,0.0618427825224245,0.0208814229703014,0,0.0409613595521231,0.148195816,"0728",45.48785783,33.89613967,19.91579349
"14","Telemark","kviteseid2","2KVB","B",1,1.61879,0.128819215163865,0.0668588695269973,0.0218551567853791,0.0710853616699219,0.106407376,"0829",34.25057033,13.40190923,2.936689407
"15","Trøndelag","verdal_2vb","2VBB","B",1,3.568058855,0.283937102008029,0.304446772321177,0.00546378919634477,0.0542360754680603,0.241115185,"1721",28.2697902,2.827400105,6.979690234
"16","Telemark","kviteseid3","3KVB","B",1,1.887543625,0.150205949110172,0.0844675469611819,0,0.0657384021489905,0.091250578,"0829",34.25057033,13.40190923,2.936689407
"17","Telemark","notodden3","3NOB","B",1,1.16744948,0.0929026777760314,0.00991730101112853,0.0737611541506543,0.0122989634856647,0.142430355,"0807",45.75073179,7.549714848,3.55799475
"18","Telemark","drangedal4","4DRB","B",1,2.895665565,0.230429744105368,0.224664604971463,0,0.0115302782678107,0.205027981,"0817",27.00672829,9.836987784,5.031787593
"19","Telemark","notodden5","5NOB","B",1,4.237718255,0.337226903857005,0.0418388607287476,0.00546378919634477,0.294022095829172,0.119776917,"0807",45.75073179,7.549714848,3.55799475
"20","Telemark","notodden6","6NOB","B",1,0.90170066,0.0717550586141122,0.0125050553435403,0.0546378919634477,0.00461211130712426,0.106105683,"0807",45.75073179,7.549714848,3.55799475
"21","Trøndelag","bratsberg","BRB","B",1,2.774182355,0.220762417418283,0.11473026096752,0.0109275783926895,0.206600523705181,0.19644858,"1601",79.89208961,1.335197374,31.0221955
"22","Trøndelag","selbu_flub","FLB","B",1,0.53410191,0.0425024795456613,0.0118028836289867,0,0.0306995959166746,0.271341572,"1664",56.44604547,5.437898015,4.380325628
"23","Trøndelag","hi_tydal","HIB","B",1,2.425161095,0.192988188031702,0.166353061210156,0,0.0266351268215456,0.214070788,"1665",16.47588281,0.419443553,0
